1,36,20,1,1/12/2025
2,47,20,9,3/16/2025
3,15,18,6,6/16/2025
4,24,3,5,1/20/2025
5,30,10,8,2/11/2025
6,11,4,3,6/20/2025
7,45,10,6,4/5/2025
8,31,15,2,6/6/2025
9,1,5,2,2/15/2025
10,23,9,2,5/8/2025
11,25,10,8,3/22/2025
12,28,1,9,3/4/2025
13,19,19,4,5/17/2025
14,50,7,6,5/29/2025
15,39,1,9,1/23/2025
16,43,17,5,1/22/2025
17,33,5,7,6/22/2025
18,16,6,9,5/13/2025
19,38,15,7,3/17/2025
20,4,14,10,1/11/2025
21,5,3,7,3/31/2025
22,3,3,10,2/2/2025
23,22,11,1,2/14/2025
24,27,8,9,3/12/2025
25,21,10,7,2/13/2025
26,42,19,2,1/11/2025
27,13,3,7,2/2/2025
28,12,19,2,4/25/2025
29,49,10,3,1/13/2025
30,34,14,5,5/4/2025
